2892926,9625,11863
2892933,9625,11863
2892936,9625,11863
2892937,9625,11863
2892938,9625,11863
2892939,9625,11863
2892940,9625,11863
2892941,9625,11863
2892942,9625,11863
2892943,9625,11863
2892944,55259,775912
2892945,9625,11863
2892946,9625,11863
2892947,55259,775912
2892948,9625,11863
2892949,9625,11863
2892951,9625,11863
2892952,9625,11863
2893038,103,853673
2893156,7166,775978
2893276,5151,41811
2893284,5151,41811
2893379,133302,445651
2893383,14416,165401
2893388,14416,165401
2893954,8892,776141
2893955,8892,776141
2893956,8892,776141
2893958,8892,776141
2893959,8892,776141
2894084,6719,279972
2894199,1736,12597
2894347,2447500,644688
2894350,1070,832539
2894351,2447500,644688
2894392,155871,848957
2894633,62064,464052
2895081,148122,15043
2895084,148122,15043
2895565,5151,416163
2895587,64,49517
2895588,64,49517
2895592,64,49517
2895593,64,49517
2895594,64,49517
2895598,64,49517
2895613,4201,60573
2895724,2876,1819
2895729,2876,1819
2895732,2876,1819
2895744,2876,1819
2895745,2876,1819
2895755,2876,1819
2895773,192,1441
2895774,192,1441
2895775,192,1441
2895776,192,1441
2895777,192,1441
2895779,192,1441
2895780,192,1441
2895783,192,1441
2895823,33663,508463
2895871,85,166426
2896175,57829,126797
2896211,2224,776669
2896263,85,166426
2896264,85,166426
2896265,85,166426
2896266,85,166426
2896268,85,166426
2896278,85,768
2896279,85,768
2896283,85,768
2896287,9140,17920
2896402,1466,263786
2896520,49824,309245
2896657,103076,776686
2896658,103076,776686
2896659,103076,776686
2896752,3151,163392
2896832,18918,451048
2896887,8944,610253
2896889,8944,610253
2896890,8944,610253
2897028,30697,520016
2897162,102429,812712
2897270,173729,336371
2897488,20362,63665
2897532,12438,5279
2897534,12438,5279
2897535,12438,5279
2897536,12438,5279
2897537,12438,5279
2897538,12438,5279
2897539,12438,5279
2897540,12438,5279
2897541,12438,5279
2897542,12438,5279
2897543,12438,5279
2897544,12438,5279
2897545,12438,5279
2897546,12438,5279
2897548,12438,5279
2897549,12438,5279
2897550,12438,5279
2897606,1981,57450
2897607,4784,460070
2897739,68812,675253
2897742,68812,675253
2897748,537,18592
2897766,7708,67652
2897767,7708,67652
2897828,65756,777126
2897829,65756,777126
2897830,65756,777126
2897833,65756,777126
2897835,65756,777126
2897837,65756,777126
2897840,65756,777126
2897867,36594,458220
2897868,36594,458220
2897869,36594,458220
2898193,2628,777193
2898321,54725,290656
2898322,54725,290656
2898323,22868,752374
2898327,54725,290656
2898328,54725,290656
2898343,64,13701
2898359,76577,838263
2898379,1674440,607822
2898697,190,749274
2899000,31,777406
2899019,6368,631843
2899230,1537,13573
2899236,1537,13573
2899245,1537,13573
2899293,25702,560144
2899297,2628,24671
2899303,2628,24671
2899304,2628,24671
2899306,2628,24671
2899308,2628,24671
2899311,2628,24671
2899312,2628,24671
2899313,2628,24671
2899314,2628,24671
2899315,2628,24671
2899316,2628,24671
2899317,2628,24671
2899438,1984,133575
2899445,7868,15198
2899446,7868,15198
2899448,7868,15198
2899451,7868,15198
2899457,7868,15198
2899458,7868,15198
2899459,7868,15198
2899460,7868,15198
2899461,7868,15198
2899462,7868,15198
2899463,7868,15198
2899464,7868,15198
2899465,7868,15198
2899466,7868,15198
2899467,7868,15198
2899468,7868,15198
2899469,7868,15198
2899470,7868,15198
2899471,7868,15198
2899472,7868,15198
2899473,7868,15198
2899474,7868,15198
2899475,7868,15198
2899476,7868,15198
2899477,7868,15198
2899478,7868,15198
2899479,7868,15198
2899480,7868,15198
2899482,7868,15198
2899483,7868,15198
2899484,7868,15198
2899485,7868,15198
2899491,1230,68734
2899492,33663,752889
2899494,1230,68734
2899495,1230,68734
2899501,1230,68734
2899502,1230,68734
2899503,1230,68734
2899504,33663,752889
2899505,1230,68734
2899506,1230,68734
2899508,1230,68734
2899509,1230,68734
2899511,33663,752889
2899512,1230,68734
2899513,1230,68734
2899515,1230,68734
2899516,1230,68734
2899521,1230,68734
2899651,12931,299145
2899680,572541,285024
2899681,572541,285024
2899682,572541,285024
2899683,572541,285024
2899685,572541,285024
2899686,572541,285024
2899687,572541,285024
2899688,572541,285024
2899689,572541,285024
2899690,572541,285024
2899691,572541,285024
2899692,572541,285024
2899693,572541,285024
2899694,572541,285024
2899696,572541,285024
2899697,572541,285024
2899698,572541,285024
2899699,572541,285024
2899700,572541,285024
2899701,572541,285024
2899702,572541,285024
2899704,572541,285024
2899705,572541,285024
2899706,572541,285024
2899707,572541,285024
2899709,572541,285024
2899710,572541,285024
2899711,572541,285024
2899712,572541,285024
2899713,572541,285024
2899714,572541,285024
2899715,572541,285024
2899716,572541,285024
2899717,572541,285024
2899718,572541,285024
2899719,572541,285024
2899720,572541,285024
2899721,572541,285024
2899722,572541,285024
2899723,572541,285024
2899724,572541,285024
2899725,572541,285024
2899812,8211,11370
2899813,8211,11370
2899815,8211,11370
2899831,106791,244861
2899852,105880,777558
2899853,105880,777558
2899854,105880,777558
2899855,105880,777558
2899948,68812,83038
2900076,488,506860
2900160,8211,11370
2900392,1229,777647
2900472,68180,529000
2900610,122260,610290
2900617,418,38190
2900618,418,38190
2900619,418,38190
2900767,12077,14443
2900769,12077,14443
2900770,20,18169
2900771,12077,14443
2900773,12077,14443
2900774,12077,14443
2900775,12077,14443
2900776,12077,14443
2900826,58333,502033
2900829,13526,14728
2900835,13526,14728
2900845,58333,502033
2900846,58333,502033
2900847,58333,502033
2900848,58333,502033
2900849,58333,502033
2900894,1533,685325
2900952,1370,38321
2901091,76577,777864
2901218,94437,777893
2901225,94437,777893
2901227,94437,777893
